iter	Logloss
0	0.6905125882
1	0.6878537181
2	0.6852721888
3	0.6827304656
4	0.6802530318
5	0.6777857358
6	0.6752916123
7	0.6729017489
8	0.6704480893
9	0.6682033049
10	0.6658959959
11	0.6635470768
12	0.6613348504
13	0.6591135848
14	0.656973209
15	0.6548309655
16	0.6525957912
17	0.6504929952
18	0.648437002
19	0.6464106315
20	0.6442744125
21	0.6423094927
22	0.6403911382
23	0.6384574662
24	0.6365661939
25	0.634537261
26	0.6326768335
27	0.630837245
28	0.6290132746
29	0.6272061641
30	0.6254899692
31	0.6237071474
32	0.6219858533
33	0.6202110614
34	0.6185618466
35	0.6168765297
36	0.6152117192
37	0.6137652881
38	0.6120784452
39	0.6104708121
40	0.6088419996
41	0.6073600909
42	0.6057151765
43	0.6042372528
44	0.6027703252
45	0.6011481654
46	0.5996294266
47	0.5980803845
48	0.5966571753
49	0.5952396991
50	0.5938411023
51	0.5924352833
52	0.5910766314
53	0.5897142257
54	0.5884047864
55	0.5870708881
56	0.5857573886
57	0.5844466229
58	0.5831388644
59	0.5819073772
60	0.5805984918
61	0.5794240556
62	0.5782528106
63	0.5770281017
64	0.5759753138
65	0.5747675972
66	0.5736139006
67	0.5724726461
68	0.5714456955
69	0.5703395618
70	0.5692137813
71	0.5681193514
72	0.5669238402
73	0.5658229473
74	0.5647581224
75	0.5637604813
76	0.5628314342
77	0.5618065344
78	0.5607456367
79	0.5598582505
80	0.5589621639
81	0.5579820194
82	0.5570152305
83	0.5561979677
84	0.5552692404
85	0.5543324125
86	0.5533507218
87	0.5524170388
88	0.5514362372
89	0.5505483819
90	0.5497212399
91	0.548817633
92	0.5480036809
93	0.5472778746
94	0.5464780298
95	0.545693942
96	0.5449277017
97	0.5441484714
98	0.5433745235
99	0.5425229761
