iter	Passed	Remaining
0	1	155
1	3	159
2	4	154
3	6	151
4	7	148
5	9	147
6	11	148
7	12	145
8	14	142
9	15	140
10	17	138
11	18	137
12	20	135
13	21	133
14	23	131
15	24	129
16	26	128
17	27	126
18	29	125
19	30	123
20	32	121
21	33	120
22	35	118
23	36	116
24	38	114
25	39	112
26	41	111
27	42	110
28	44	108
29	45	107
30	47	105
31	48	104
32	50	102
33	52	101
34	53	100
35	55	99
36	57	97
37	59	97
38	61	96
39	63	94
40	64	92
41	65	91
42	67	89
43	69	88
44	70	86
45	72	85
46	74	83
47	75	81
48	77	80
49	78	78
50	80	77
51	81	75
52	83	73
53	84	72
54	86	70
55	87	68
56	89	67
57	90	65
58	92	64
59	93	62
60	95	61
61	97	59
62	98	57
63	100	56
64	101	54
65	102	53
66	104	51
67	105	49
68	107	48
69	108	46
70	110	45
71	112	43
72	113	42
73	115	40
74	116	38
75	118	37
76	119	35
77	121	34
78	123	32
79	124	31
80	126	29
81	127	28
82	129	26
83	130	24
84	132	23
85	133	21
86	135	20
87	136	18
88	138	17
89	139	15
90	141	13
91	143	12
92	145	10
93	146	9
94	148	7
95	149	6
96	151	4
97	152	3
98	154	1
99	156	0
